"Offense","Offense Conference","Defense","Defense Conference","Game Id","Id","Drive Number","Scoring","Start Period","Start Yardline","Start Yards To Goal","Start Time Minutes","Start Time Seconds","End Period","End Yardline","End Yards To Goal","End Time Minutes","End Time Seconds","Elapsed Minutes","Elapsed Seconds","Plays","Yards","Drive Result","Is Home Offense","Start Offense Score","Start Defense Score","End Offense Score","End Defense Score"
"Arizona State","Pac-12","Washington","Pac-12","401524038","4015240385","5","false","1","80","80","6","17","1","40","40","1","47","4","30","9","40","DOWNS","false","0","0","0","0"
"Washington","Pac-12","Arizona State","Pac-12","401524038","4015240386","6","false","1","40","60","1","47","2","93","7","13","19","3","28","7","53","INT","true","0","0","0","0"
"Arizona State","Pac-12","Washington","Pac-12","401524038","4015240387","7","false","2","97","97","13","19","2","70","70","10","2","3","17","5","27","PUNT","false","0","0","0","0"
"Washington","Pac-12","Arizona State","Pac-12","401524038","4015240388","8","false","2","30","70","10","2","2","53","47","8","50","1","12","5","23","FUMBLE","true","0","0","0","0"
"Arizona State","Pac-12","Washington","Pac-12","401524038","4015240389","9","true","2","53","53","8","50","2","0","0","4","22","4","28","8","53","TD","false","0","0","7","0"
"Washington","Pac-12","Arizona State","Pac-12","401524038","40152403810","10","true","2","20","80","4","16","2","93","7","0","12","4","4","11","73","FG","true","0","7","3","7"
"Arizona State","Pac-12","Washington","Pac-12","401524038","40152403811","11","false","2","75","75","0","12","2","76","76","0","0","0","12","1","-1","END OF HALF","false","7","3","7","3"
"Washington","Pac-12","Arizona State","Pac-12","401524038","40152403812","12","false","3","28","72","14","54","3","40","60","14","17","0","37","2","12","FUMBLE","true","3","7","3","7"
"Arizona State","Pac-12","Washington","Pac-12","401524038","40152403813","13","false","3","40","40","14","17","3","36","36","13","18","0","59","3","4","PUNT","false","7","3","7","3"
"Washington","Pac-12","Arizona State","Pac-12","401524038","40152403814","14","false","3","10","90","13","18","3","19","81","10","45","2","33","5","9","PUNT","true","3","7","3","7"
"Arizona State","Pac-12","Washington","Pac-12","401524038","40152403815","15","false","3","58","58","10","45","3","25","25","3","37","7","8","12","33","MISSED FG","false","7","3","7","3"
"Washington","Pac-12","Arizona State","Pac-12","401524038","40152403816","16","false","3","26","74","3","37","3","41","59","2","12","1","25","4","15","PUNT","true","3","7","3","7"
"Arizona State","Pac-12","Washington","Pac-12","401524038","40152403817","17","false","3","78","78","2","12","4","30","30","14","31","2","41","7","48","DOWNS","false","7","3","7","3"
"Washington","Pac-12","Arizona State","Pac-12","401524038","40152403818","18","true","4","30","70","14","31","4","70","30","12","28","2","3","7","40","FG","true","3","7","6","7"
"Arizona State","Pac-12","Washington","Pac-12","401524038","40152403819","19","true","4","75","75","12","28","4","12","12","8","11","4","17","9","63","INT TD","false","7","6","7","12"
"Arizona State","Pac-12","Washington","Pac-12","401524038","40152403820","20","false","4","81","81","8","5","4","91","91","6","19","1","46","3","-10","PUNT","false","7","12","7","12"
"Washington","Pac-12","Arizona State","Pac-12","401524038","40152403821","21","true","4","31","69","6","19","4","93","7","3","17","3","2","8","62","FG","true","12","7","15","7"
"Arizona State","Pac-12","Washington","Pac-12","401524038","40152403822","22","false","4","75","75","3","17","4","52","52","0","33","2","44","9","23","DOWNS","false","7","15","7","15"
"Washington","Pac-12","Arizona State","Pac-12","401524038","40152403823","23","false","4","52","48","0","33","4","50","50","0","0","0","33","1","-2","END OF GAME","true","15","7","15","7"
"Stanford","Pac-12","Washington","Pac-12","401524042","4015240421","1","false","1","9","91","14","54","1","36","64","9","7","5","47","12","27","PUNT","true","0","0","0","0"
"Washington","Pac-12","Stanford","Pac-12","401524042","4015240422","2","true","1","50","50","9","7","1","0","0","6","26","2","41","6","50","TD","false","0","0","7","0"
"Stanford","Pac-12","Washington","Pac-12","401524042","4015240423","3","false","1","14","86","6","26","1","35","65","4","30","1","56","4","21","PUNT","true","0","7","0","7"
"Washington","Pac-12","Stanford","Pac-12","401524042","4015240424","4","false","1","82","82","4","30","1","77","77","3","38","0","52","3","5","PUNT","false","7","0","7","0"
"Stanford","Pac-12","Washington","Pac-12","401524042","4015240425","5","false","1","33","67","3","38","1","36","64","2","1","1","37","3","3","PUNT","true","0","7","0","7"
"Washington","Pac-12","Stanford","Pac-12","401524042","4015240426","6","false","1","75","75","2","1","1","72","72","0","19","1","42","3","3","PUNT","false","7","0","7","0"
"Stanford","Pac-12","Washington","Pac-12","401524042","4015240427","7","true","1","26","74","0","19","2","100","0","12","24","2","55","8","74","TD","true","0","7","7","7"
"Washington","Pac-12","Stanford","Pac-12","401524042","4015240428","8","true","2","75","75","12","24","2","0","0","9","20","3","4","9","75","TD","false","7","7","14","7"
"Stanford","Pac-12","Washington","Pac-12","401524042","4015240429","9","false","2","25","75","9","20","2","56","44","5","23","3","57","8","31","PUNT","true","7","14","7","14"
"Washington","Pac-12","Stanford","Pac-12","401524042","40152404210","10","true","2","92","92","5","23","2","0","0","5","9","0","14","1","92","TD","false","21","7","21","7"
"Stanford","Pac-12","Washington","Pac-12","401524042","40152404211","11","true","2","25","75","5","9","2","95","5","1","5","4","4","9","70","FG","true","7","21","10","21"
"Washington","Pac-12","Stanford","Pac-12","401524042","40152404212","12","false","2","75","75","1","5","2","75","75","0","41","0","24","3","0","PUNT","false","21","10","21","10"
"Stanford","Pac-12","Washington","Pac-12","401524042","40152404213","13","true","2","33","67","0","41","2","71","29","0","0","0","41","8","38","FG","true","10","20","13","21"
"Washington","Pac-12","Stanford","Pac-12","401524042","40152404214","14","false","3","75","75","15","0","3","70","70","11","17","3","43","5","5","PUNT","false","21","13","21","13"
"Stanford","Pac-12","Washington","Pac-12","401524042","40152404215","15","true","3","32","68","11","17","3","100","0","10","1","1","16","4","68","TD","true","13","21","19","21"
"Washington","Pac-12","Stanford","Pac-12","401524042","40152404216","16","false","3","75","75","10","1","3","54","54","6","44","3","17","6","21","PUNT","false","21","19","21","19"
"Stanford","Pac-12","Washington","Pac-12","401524042","40152404217","17","false","3","16","84","6","44","3","23","77","5","23","1","21","6","7","PUNT","true","19","21","19","21"
"Washington","Pac-12","Stanford","Pac-12","401524042","40152404218","18","true","3","52","52","5","23","3","0","0","3","55","1","28","6","52","TD","false","21","19","28","19"
"Stanford","Pac-12","Washington","Pac-12","401524042","40152404219","19","true","3","25","75","3","55","3","100","0","1","17","2","38","6","75","TD","true","19","28","26","28"
"Washington","Pac-12","Stanford","Pac-12","401524042","40152404220","20","true","3","79","79","1","12","4","0","0","14","14","1","58","7","79","TD","false","28","26","35","26"
"Stanford","Pac-12","Washington","Pac-12","401524042","40152404221","21","false","4","25","75","14","14","4","28","72","13","11","1","3","3","3","PUNT","true","26","35","26","35"
"Washington","Pac-12","Stanford","Pac-12","401524042","40152404222","22","false","4","52","52","13","11","4","12","12","11","37","1","34","4","40","FUMBLE","false","35","26","35","26"
"Stanford","Pac-12","Washington","Pac-12","401524042","40152404223","23","true","4","17","83","11","37","4","100","0","6","16","5","21","8","83","TD","true","26","35","33","35"
"Washington","Pac-12","Stanford","Pac-12","401524042","40152404224","24","false","4","50","50","6","44","4","17","17","5","5","1","39","5","33","INT","false","35","33","35","33"
"Stanford","Pac-12","Washington","Pac-12","401524042","40152404225","25","false","4","20","80","5","5","4","28","72","3","20","1","45","4","8","DOWNS","true","33","35","33","35"
"Washington","Pac-12","Stanford","Pac-12","401524042","40152404226","26","true","4","28","28","3","20","4","0","0","1","36","1","44","4","28","TD","false","35","33","42","33"
"Stanford","Pac-12","Washington","Pac-12","401524042","40152404227","27","false","4","25","75","1","36","4","45","55","0","53","0","43","5","20","DOWNS","true","33","42","33","42"
"Washington","Pac-12","Stanford","Pac-12","401524042","40152404228","28","false","4","45","45","0","53","4","48","48","0","0","0","53","3","-3","END OF GAME","false","42","33","42","33"
"USC","Pac-12","Washington","Pac-12","401524048","4015240481","1","true","1","25","75","15","0","1","100","0","8","56","6","4","12","75","TD","true","0","0","7","0"
"Washington","Pac-12","USC","Pac-12","401524048","4015240482","2","true","1","75","75","8","56","1","0","0","3","38","5","18","10","75","TD","false","0","7","7","7"
"USC","Pac-12","Washington","Pac-12","401524048","4015240483","3","false","1","25","75","3","38","1","46","54","2","34","1","4","4","21","PUNT","true","7","7","7","7"
"Washington","Pac-12","USC","Pac-12","401524048","4015240484","4","false","1","80","80","2","34","1","82","82","1","24","1","10","3","-2","PUNT","false","7","7","7","7"
"USC","Pac-12","Washington","Pac-12","401524048","4015240485","5","true","1","92","8","1","24","1","100","0","0","35","0","49","2","8","TD","true","7","7","14","7"
"Washington","Pac-12","USC","Pac-12","401524048","4015240486","6","true","1","79","79","0","35","2","0","0","11","37","3","58","10","79","TD","false","7","14","14","14"
"USC","Pac-12","Washington","Pac-12","401524048","4015240487","7","true","2","5","95","11","37","2","100","0","9","31","2","6","5","95","TD","true","14","14","21","14"
"Washington","Pac-12","USC","Pac-12","401524048","4015240488","8","true","2","75","75","9","31","2","0","0","6","44","2","47","5","75","TD","false","14","21","21","21"
"USC","Pac-12","Washington","Pac-12","401524048","4015240489","9","true","2","25","75","6","44","2","100","0","4","4","2","40","5","75","TD","true","21","21","28","21"
"Washington","Pac-12","USC","Pac-12","401524048","40152404810","10","true","2","70","70","4","4","2","0","0","1","14","2","50","8","70","TD","false","21","28","28","28"
"USC","Pac-12","Washington","Pac-12","401524048","40152404811","11","false","2","25","75","1","14","2","25","75","1","7","0","7","1","-13","FUMBLE","true","28","28","28","28"
"Washington","Pac-12","USC","Pac-12","401524048","40152404812","12","true","2","12","12","1","7","2","0","0","0","20","0","47","3","12","TD","false","28","28","35","28"
"USC","Pac-12","Washington","Pac-12","401524048","40152404813","13","false","2","25","75","0","20","2","40","60","0","0","0","20","4","15","END OF HALF","true","28","35","28","35"
"Washington","Pac-12","USC","Pac-12","401524048","40152404814","14","false","3","71","71","15","0","3","21","21","11","29","3","31","7","50","INT","false","35","28","35","28"
"USC","Pac-12","Washington","Pac-12","401524048","40152404815","15","true","3","20","80","11","29","3","100","0","8","0","3","29","8","80","TD","true","28","35","35","35"
"Washington","Pac-12","USC","Pac-12","401524048","40152404816","16","true","3","75","75","8","0","3","0","0","4","21","3","39","7","75","TD","false","35","35","42","35"
