t,stim,y0,y1,y2,y3
29.892728319999996,-0.48,0,0,0,0
29.901068924999997,-0.48,0,0,1,0
29.909409529999998,0.48,1,1,0,1
29.917750135,-0.48,1,0,0,0
29.926090739999996,0.48,0,0,0,0
29.934431344999997,0.48,0,0,0,0
29.942771949999997,0.48,0,0,0,0
29.951112554999998,0.48,0,0,0,0
29.959453159999995,0.48,0,0,1,1
29.967793764999996,-0.48,0,0,1,1
29.976134369999997,0.48,0,0,1,1
29.984474974999998,0.48,0,0,0,0
29.99281558,-0.48,0,0,0,0
30.001156184999996,-0.48,0,0,0,0
30.009496789999996,0.48,0,0,0,0
30.017837394999997,0.48,1,0,0,0
30.026177999999998,-0.48,0,1,0,0
30.034518605,-0.48,0,0,0,0
30.042859209999996,-0.48,0,0,0,1
30.051199814999997,-0.48,1,0,0,1
30.059540419999998,-0.48,0,1,0,0
30.067881025,-0.48,1,1,0,0
30.076221629999996,-0.48,1,1,0,0
30.084562234999996,-0.48,0,0,0,0
30.092902839999997,0.48,1,1,0,0
30.101243444999998,0.48,1,0,0,0
30.10958405,-0.48,0,0,0,0
30.117924654999996,0.48,0,0,0,0
30.126265259999997,-0.48,0,0,1,1
30.134605864999997,0.48,0,0,1,1
30.14294647,-0.48,0,0,1,0
30.151287074999995,0.48,0,0,0,0
30.159627679999996,0.48,0,0,0,0
30.167968284999997,-0.48,0,0,0,0
30.176308889999998,-0.48,0,0,1,0
30.184649495,0.48,0,0,1,1
30.192990099999996,-0.48,0,0,0,1
30.201330704999997,-0.48,0,0,0,0
30.209671309999997,-0.48,0,1,0,0
30.218011914999998,0.48,1,1,0,0
30.226352519999995,-0.48,0,0,0,0
30.234693124999996,-0.48,1,0,0,0
30.243033729999997,0.48,0,0,0,0
30.251374334999998,-0.48,0,0,0,0
30.25971494,-0.48,1,0,0,0
30.268055544999996,-0.48,0,0,0,0
30.276396149999997,-0.48,1,0,0,0
30.284736754999997,-0.48,1,1,0,0
30.293077359999998,0.48,1,0,0,0
30.301417965,-0.48,0,0,0,0
30.309758569999996,0.48,0,0,0,0
30.318099174999997,0.48,0,0,0,0
30.326439779999998,-0.48,0,0,0,0
30.334780385,-0.48,0,0,1,1
30.343120989999996,-0.48,0,0,1,1
30.351461594999996,0.48,0,0,1,0
30.359802199999997,0.48,0,0,0,0
30.368142804999998,-0.48,0,1,0,0
30.37648341,-0.48,0,0,0,0
30.384824014999996,-0.48,0,0,1,0
30.393164619999997,-0.48,0,0,1,1
30.401505224999998,-0.48,1,1,0,0
30.40984583,-0.48,0,1,0,0
30.418186434999996,0.48,1,0,0,0
30.426527039999996,-0.48,0,0,0,0
30.434867644999997,0.48,0,0,0,0
