"Offense","Offense Conference","Defense","Defense Conference","Game Id","Id","Drive Number","Scoring","Start Period","Start Yardline","Start Yards To Goal","Start Time Minutes","Start Time Seconds","End Period","End Yardline","End Yards To Goal","End Time Minutes","End Time Seconds","Elapsed Minutes","Elapsed Seconds","Plays","Yards","Drive Result","Is Home Offense","Start Offense Score","Start Defense Score","End Offense Score","End Defense Score"
"Michigan","Big Ten","Purdue","Big Ten","401520368","40152036822","22","true","3","55","45","2","6","4","100","0","14","18","2","48","5","45","TD","true","27","6","34","6"
"Purdue","Big Ten","Michigan","Big Ten","401520368","40152036823","23","false","4","75","75","14","18","4","76","76","13","3","1","15","3","-1","PUNT","false","6","34","6","34"
"Michigan","Big Ten","Purdue","Big Ten","401520368","40152036824","24","false","4","39","61","13","3","4","58","42","9","47","3","16","5","19","PUNT","true","34","6","34","6"
"Purdue","Big Ten","Michigan","Big Ten","401520368","40152036825","25","false","4","97","97","9","47","4","78","78","7","21","2","26","5","19","PUNT","false","6","34","6","34"
"Michigan","Big Ten","Purdue","Big Ten","401520368","40152036826","26","true","4","43","57","7","21","4","100","0","4","30","2","51","6","57","TD","true","34","6","41","6"
"Purdue","Big Ten","Michigan","Big Ten","401520368","40152036827","27","true","4","75","75","4","30","4","0","0","0","18","4","12","8","75","TD","false","6","41","13","41"
"Michigan","Big Ten","Purdue","Big Ten","401520368","40152036828","28","false","4","35","65","0","18","4","33","67","0","0","0","18","1","-2","END OF GAME","true","41","13","41","13"
"Michigan","Big Ten","Penn State","Big Ten","401520394","4015203941","1","false","1","75","75","15","0","1","71","71","11","10","3","50","5","4","PUNT","false","0","0","0","0"
"Penn State","Big Ten","Michigan","Big Ten","401520394","4015203942","2","false","1","26","74","11","10","1","27","73","10","23","0","47","3","1","PUNT","true","0","0","0","0"
"Michigan","Big Ten","Penn State","Big Ten","401520394","4015203943","3","false","1","70","70","10","23","1","63","63","8","41","1","42","3","7","PUNT","false","0","0","0","0"
"Penn State","Big Ten","Michigan","Big Ten","401520394","4015203944","4","true","1","31","69","8","41","1","97","3","2","17","6","24","13","66","FG","true","0","0","3","0"
"Michigan","Big Ten","Penn State","Big Ten","401520394","4015203945","5","true","1","75","75","2","17","2","0","0","11","56","5","21","9","75","TD","false","0","3","7","3"
"Penn State","Big Ten","Michigan","Big Ten","401520394","4015203946","6","false","2","25","75","11","56","2","34","66","9","44","2","12","3","9","PUNT","true","3","7","3","7"
"Michigan","Big Ten","Penn State","Big Ten","401520394","4015203947","7","true","2","78","78","9","44","2","0","0","6","7","3","37","6","78","TD","false","7","3","14","3"
"Penn State","Big Ten","Michigan","Big Ten","401520394","4015203948","8","true","2","25","75","6","7","2","100","0","0","29","5","38","10","75","TD","true","3","14","9","14"
"Michigan","Big Ten","Penn State","Big Ten","401520394","4015203949","9","false","2","75","75","0","29","2","71","71","0","0","0","29","1","4","END OF HALF","false","14","9","14","9"
